FID,JURISDCTN,DISTRICT,BEAT,CCGIS_POLI,SHAPE_Leng,SHAPE_Area,Shape__Area,Shape__Length
77,IMPD,East,ED53,0,37969.9551594,71916483.0143,11343929.953125,15076.7876233002
78,IMPD,Southeast,SE21,0,21617.9260345,29208015.4348,4595509.15625,8573.7611434818
79,IMPD,Southeast,SE22,0,30354.6218261,46939792.0571,7385471.01171875,12032.9921231894
80,IMPD,Southeast,SE41,0,40727.0876091,90366004.0375,14191921.5625,16148.3716515622
81,IUPUI,Excluded,Excluded,0,26914.0520558,13995909.2163,2203902.62109375,10678.9491961318
82,Marian University,Excluded,Excluded,0,11745.6225997,5385155.98858,849010.03125,4668.3271085652
83,Butler University,Excluded,Excluded,0,22400.0456982,13588497.8469,2143873.01171875,8897.88336630551
84,IMPD,Southport,SPTSE,0,20556.2010327,17172410.4775,2695355.40234375,8147.9065677284
85,IUHLT,Excluded,Excluded,0,12413.9856003,2131121.4308,335636.0625,4926.54506607258
86,Speedway,Excluded,Excluded,0,81896.9692681,132198087.507,20829161.8046875,32500.0619585393
87,IMPD,North,ND12,0,27865.9667035,45362031.4374,7147531.49609375,11061.2285539549
88,IMPD,North,ND23,0,34902.7158699,61621135.7012,9713699.91796875,13854.1951343836
89,IMPD,North,ND22,0,42145.545717,66878367.3993,10549576.0976563,16742.6020612645
90,IMPD,North,ND13,0,28225.8332371,37097919.6574,5848311.03515625,11210.2149558399
91,IMPD,Southeast,SE42,0,47698.7846014,107841437.367,16941406.6640625,18893.0923663742
92,IMPD,Southeast,SE43,0,38110.9542636,68372955.0065,10735719.3789063,15089.6456681046
93,IMPD,Southeast,SE72,0,60583.7814917,139673447.243,21953215.3828125,24005.2438629901
94,IMPD,Southeast,SE71,0,64470.9430356,163632556.955,25739221.171875,25540.7286378433
95,IMPD,Southeast,SE73,0,58699.8258146,198808681.951,31251169.6054688,23260.4749601615
96,IMPD,Downtown,DT11,0,36712.3226214,24477616.2289,3854834.09375,14568.7290674014
97,IMPD,North,ND33,0,28780.4271518,26548141.6561,4184912.42578125,11424.8862698661
98,IMPD,North,ND31,0,30907.1805588,55287517.0168,8718740.98046875,12278.028411127
99,IMPD,North,ND32,0,40422.7694675,70593678.0486,11134798.8515625,16045.5528166921
100,IMPD,Southeast,SE91,0,42900.8165157,114790652.24,18013071.390625,16994.4558675324
101,IMPD,Southwest,SW51,0,34678.3867174,71849581.7978,11312586.46875,13754.3071386992
102,IMPD,Southwest,SW31,0,64429.8177743,115792924.039,18228395.2070313,25551.539633166
103,IMPD,Southwest,SW12,0,31976.7984605,43030681.01,6774778.52734375,12680.9116211736
104,IMPD,Southwest,SW41,0,51711.8212337,85517890.383,13446000.7695313,20505.0611850332
105,IMPD,Southwest,SW72,0,45874.3242515,127243853.855,19965310.8710938,18167.910332054
106,IMPD,Southwest,SW21,0,44114.6473348,104023464.654,16364212.3671875,17504.1219772821
107,IMPD,Southwest,SW42,0,47061.8755316,111527731.796,17528443.6015625,18643.4626160526
108,IMPD,North,ND42,0,50711.7043281,86840218.2453,13704927.0390625,20140.6064865436
109,IMPD,North,ND43,0,47924.4283021,89299549.6893,14094658.75,19033.7226855209
110,IMPD,North,ND52,0,81927.8299864,161465565.881,25527143.5351563,32578.1282167321
111,IMPD,North,ND41,0,38968.8333267,55648091.1515,8787154.3125,15478.6413704714
112,IMPD,North,ND61,0,52455.50949,112096903.87,17709660.9101563,20854.5475619246
113,IMPD,North,ND63,0,51425.9132056,115457868.921,18245805.7617188,20439.3458795169
114,IMPD,Southwest,SW71,0,45226.6251728,125894343.139,19771684.2070313,17927.5070877872
115,IMPD,Southwest,SW23,0,63277.1107887,185577305.005,29172641.6875,25082.2976331122
116,IMPD,Southwest,SW62,0,75776.9986337,251687599.204,39510360.6601563,30034.9171636068
